time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1473	1.48264	5.26966	0.392656	0.590235	radar	3.68857	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3715	1.53394	5.21452	0.384231	0.512365	lidar	1.17291	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5933	1.66182	5.10154	0.452844	0.647314	radar	2.44469	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8249	1.63218	4.99512	0.374292	0.418267	lidar	2.9492	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0977	1.67488	5.08905	0.33559	0.264829	radar	2.94406	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3869	1.67633	5.09522	0.273107	0.105517	lidar	2.63703	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6187	1.72301	5.02435	0.264986	0.0828652	radar	0.715368	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.848	1.77311	4.9967	0.25846	0.0596044	lidar	0.298293	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.105	1.87148	5.13678	0.280406	0.0848875	radar	1.5267	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3546	1.86589	5.09731	0.221769	-0.0491303	lidar	0.620644	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6152	1.9102	5.18505	0.204617	-0.0893933	radar	0.725546	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8082	2.08606	5.15691	0.310141	0.142135	lidar	3.47319	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0777	2.19879	5.31557	0.328174	0.138773	radar	2.91026	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2781	2.36245	5.28754	0.405401	0.285987	lidar	2.26898	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
